db_name,table_schema,table_name,table_comment,column_position,column_name,data_type,is_nullable,column_default,column_comment,constraint_type,constraint_name
visary_webapi_db,Base,ObjectPermission,,1,ID,int4,NO,,,PRIMARY KEY,PK_ObjectPermission
visary_webapi_db,Base,ObjectPermission,,2,Title,varchar(255),YES,,,,
visary_webapi_db,Base,ObjectPermission,,3,ObjectType,text,YES,,,,
visary_webapi_db,Base,ObjectPermission,,4,Criteria_Scheme,text,YES,,,,
visary_webapi_db,Base,ObjectPermission,,5,Criteria_Expression,text,YES,,,,
visary_webapi_db,Base,ObjectPermission,,6,Disabled,bool,NO,,,,
visary_webapi_db,Base,ObjectPermission,,7,Priority,int4,NO,,,,
visary_webapi_db,Base,ObjectPermission,,8,UserGroupID,int4,YES,,,FOREIGN KEY,FK_ObjectPermission_UserGroup_UserGroupID
visary_webapi_db,Base,ObjectPermission,,9,ReadOnlyProperties,_text,YES,,,,
visary_webapi_db,Base,ObjectPermission,,10,Hidden,bool,NO,,,,
visary_webapi_db,Base,ObjectValidationRule,,1,ID,int4,NO,,,PRIMARY KEY,PK_ObjectValidationRule
visary_webapi_db,Base,ObjectValidationRule,,2,Title,varchar(255),YES,,,,
visary_webapi_db,Base,ObjectValidationRule,,3,ObjectType,text,YES,,,,
visary_webapi_db,Base,ObjectValidationRule,,4,Criteria_Scheme,text,YES,,,,
visary_webapi_db,Base,ObjectValidationRule,,5,Criteria_Expression,text,YES,,,,
visary_webapi_db,Base,ObjectValidationRule,,6,Priority,int4,NO,,,,
visary_webapi_db,Base,ObjectValidationRule,,7,UserGroupID,int4,YES,,,FOREIGN KEY,FK_ObjectValidationRule_UserGroup_UserGroupID
visary_webapi_db,Base,ObjectValidationRule,,8,Hidden,bool,NO,,,,
visary_webapi_db,Base,ObjectValidationRule_Rules,,1,ID,int4,NO,,,PRIMARY KEY,PK_ObjectValidationRule_Rules
visary_webapi_db,Base,ObjectValidationRule_Rules,,2,Name,varchar(255),YES,,,,
visary_webapi_db,Base,ObjectValidationRule_Rules,,3,Rule,int4,NO,,,,
visary_webapi_db,Base,ObjectValidationRule_Rules,,4,OwnerID,int4,NO,,,FOREIGN KEY,FK_ObjectValidationRule_Rules_ObjectValidationRule_OwnerID
visary_webapi_db,Base,ObjectValidationRule_Rules,,5,SortOrder,float8,NO,,,,
visary_webapi_db,Base,ProfileAccess,,1,ID,int4,NO,,,PRIMARY KEY,PK_ProfileAccess
visary_webapi_db,Base,ProfileAccess,,2,ProfileMnemonic,text,YES,,,,
visary_webapi_db,Base,ProfileAccess,,3,Hidden,bool,NO,,,,
visary_webapi_db,Base,Role,,1,ID,int4,NO,,,PRIMARY KEY,PK_Role
visary_webapi_db,Base,Role,,2,Title,varchar(255),YES,,,,
visary_webapi_db,Base,Role,,3,Hidden,bool,NO,,,,
visary_webapi_db,Base,Role_Permissions,,1,ID,int4,NO,,,PRIMARY KEY,PK_Role_Permissions
visary_webapi_db,Base,Role_Permissions,,2,ObjectType,text,YES,,,,
visary_webapi_db,Base,Role_Permissions,,3,AllowRead,bool,NO,,,,
visary_webapi_db,Base,Role_Permissions,,4,AllowWrite,bool,NO,,,,
visary_webapi_db,Base,Role_Permissions,,5,AllowCreate,bool,NO,,,,
visary_webapi_db,Base,Role_Permissions,,6,AllowDelete,bool,NO,,,,
visary_webapi_db,Base,Role_Permissions,,7,OwnerID,int4,NO,,,FOREIGN KEY,FK_Role_Permissions_Role_OwnerID
visary_webapi_db,Base,Role_Permissions,,8,SortOrder,float8,NO,,,,
visary_webapi_db,Base,Role_Permissions_PropertyPermissions,,1,ID,int4,NO,,,PRIMARY KEY,PK_Role_Permissions_PropertyPermissions
visary_webapi_db,Base,Role_Permissions_PropertyPermissions,,2,PropertyName,text,NO,,,,
visary_webapi_db,Base,Role_Permissions_PropertyPermissions,,3,AllowRead,bool,NO,,,,
visary_webapi_db,Base,Role_Permissions_PropertyPermissions,,4,AllowWrite,bool,NO,,,,
visary_webapi_db,Base,Role_Permissions_PropertyPermissions,,5,OwnerID,int4,NO,,,FOREIGN KEY,FK_Role_Permissions_PropertyPermissions_Role_Permissions_Owner~
visary_webapi_db,Base,Role_Permissions_PropertyPermissions,,6,SortOrder,float8,NO,,,,
visary_webapi_db,Base,Substitute,,1,ID,int4,NO,,,PRIMARY KEY,PK_Substitute
visary_webapi_db,Base,Substitute,,2,StandInUserId,int4,NO,,,FOREIGN KEY,FK_Substitute_User_StandInUserId
visary_webapi_db,Base,Substitute,,3,PresentUserId,int4,NO,,,FOREIGN KEY,FK_Substitute_User_PresentUserId
visary_webapi_db,Base,Substitute,,4,Period_Start,date,YES,,,,
visary_webapi_db,Base,Substitute,,5,Period_End,date,YES,,,,
visary_webapi_db,Base,Substitute,,6,CreatorUserId,int4,NO,,,FOREIGN KEY,FK_Substitute_User_CreatorUserId
visary_webapi_db,Base,Substitute,,7,Description,text,YES,,,,
visary_webapi_db,Base,Substitute,,8,Status,int4,NO,,,,
visary_webapi_db,Base,Substitute,,9,Hidden,bool,NO,,,,
visary_webapi_db,Base,User,,1,ID,int4,NO,,,PRIMARY KEY,PK_User
visary_webapi_db,Base,User,,2,AvatarUrl,text,YES,,,,
visary_webapi_db,Base,User,,3,Title,varchar(255),YES,,,,
visary_webapi_db,Base,User,,4,Hidden,bool,NO,,,,
visary_webapi_db,Base,UserAndUserGroup,,1,ID,int4,NO,,,PRIMARY KEY,PK_UserAndUserGroup
visary_webapi_db,Base,UserAndUserGroup,,2,UserId,int4,NO,,,FOREIGN KEY,FK_UserAndUserGroup_User_UserId
visary_webapi_db,Base,UserAndUserGroup,,3,GroupId,int4,NO,,,FOREIGN KEY,FK_UserAndUserGroup_UserGroup_GroupId
visary_webapi_db,Base,UserGroup,,1,ID,int4,NO,,,PRIMARY KEY,PK_UserGroup
visary_webapi_db,Base,UserGroup,,2,Title,text,YES,,,,
visary_webapi_db,Base,UserGroup,,3,AvatarUrl,text,YES,,,,
visary_webapi_db,Base,UserGroup,,4,IsSystem,bool,NO,,,,
visary_webapi_db,Base,UserGroup,,5,Hidden,bool,NO,,,,
visary_webapi_db,Base,UserGroupAndRole,,1,ID,int4,NO,,,PRIMARY KEY,PK_UserGroupAndRole
visary_webapi_db,Base,UserGroupAndRole,,2,Hidden,bool,NO,,,,
visary_webapi_db,Base,UserGroupAndRole,,3,ObjLeftId,int4,NO,,,FOREIGN KEY,FK_UserGroupAndRole_UserGroup_ObjLeftId
visary_webapi_db,Base,UserGroupAndRole,,4,ObjRightId,int4,NO,,,FOREIGN KEY,FK_UserGroupAndRole_Role_ObjRightId
visary_webapi_db,Base,UserGroupModel,,1,ID,int4,NO,,,PRIMARY KEY,PK_UserGroupModel
visary_webapi_db,Base,UserGroupModel,,2,AvatarUrl,text,YES,,,,
visary_webapi_db,Base,UserGroupModel,,3,Title,text,YES,,,,
visary_webapi_db,Base,UserGroupModel,,4,IsPrivate,bool,NO,,,,
visary_webapi_db,Base,UserGroupModel,,5,IsSystem,bool,NO,,,,
visary_webapi_db,Base,UserGroupModel,,6,UserCount,int4,NO,,,,
visary_webapi_db,Base,UserGroupModel,,7,Hidden,bool,NO,,,,
visary_webapi_db,Base,UserLastActivity,,1,ID,int4,NO,,,PRIMARY KEY,PK_UserLastActivity
visary_webapi_db,Base,UserLastActivity,,2,LastActionTimestamp,timestamptz,NO,,,,
visary_webapi_db,Base,UserModel,,1,ID,int4,NO,,,PRIMARY KEY,PK_UserModel
visary_webapi_db,Base,UserModel,,2,AvatarUrl,text,YES,,,,
visary_webapi_db,Base,UserModel,,3,IdentityEmail,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,4,IdentityLogin,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,5,NickName,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,6,AdminLevel,int4,YES,,,,
visary_webapi_db,Base,UserModel,,7,IdentityPhone,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,8,ContactEmail,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,9,ContactPhone,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,10,IsEnabled,bool,NO,,,,
visary_webapi_db,Base,UserModel,,11,IsActive,bool,NO,,,,
visary_webapi_db,Base,UserModel,,12,IsLdap,bool,NO,,,,
visary_webapi_db,Base,UserModel,,13,LdapServer,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,14,LdapLogin,varchar(255),YES,,,,
visary_webapi_db,Base,UserModel,,15,Hidden,bool,NO,,,,
visary_webapi_db,Data,AcceptedContract,,1,ID,int4,NO,,,PRIMARY KEY,PK_AcceptedContract
visary_webapi_db,Data,AcceptedContract,,2,WBSContractID,int4,YES,,,FOREIGN KEY,FK_AcceptedContract_WBSContract_WBSContractID
