Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.143 INF] Microsoft.EntityFrameworkCore.Database.Command Executed DbCommand (11ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.143 DBG] Microsoft.EntityFrameworkCore.Database.Command Creating DbCommand for 'ExecuteNonQuery'.
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.143 DBG] Microsoft.EntityFrameworkCore.Database.Command Initialized DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE INDEX "IX_import_session_stages_ImportSessionId" ON import.import_session_stages ("ImportSessionId");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.143 DBG] Microsoft.EntityFrameworkCore.Database.Command Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.143 DBG] Microsoft.EntityFrameworkCore.Database.Command Created DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.154 DBG] Microsoft.EntityFrameworkCore.Database.Command Initialized DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.154 DBG] Microsoft.EntityFrameworkCore.Database.Command Created DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE INDEX "IX_import_session_stages_ImportSessionId" ON import.import_session_stages ("ImportSessionId");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE UNIQUE INDEX "IX_import_file_snapshots_ImportSessionId" ON import.import_file_snapshots ("ImportSessionId");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.154 DBG] Microsoft.EntityFrameworkCore.Database.Command Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE INDEX "IX_import_sessions_StartedAt" ON import.import_sessions ("StartedAt");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.132 DBG] Microsoft.EntityFrameworkCore.Database.Command Initialized DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.120 DBG] Microsoft.EntityFrameworkCore.Database.Command Initialized DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 |     "MappedValues" jsonb,
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 |     "RawValues" jsonb NOT NULL,
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.120 INF] Microsoft.EntityFrameworkCore.Database.Command Executed DbCommand (13ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | );
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE TABLE import.staged_rows (
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE INDEX "IX_import_errors_ImportSessionId_SourceRowNumber" ON import.import_errors ("ImportSessionId", "SourceRowNumber");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.132 DBG] Microsoft.EntityFrameworkCore.Database.Command Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.131 INF] Microsoft.EntityFrameworkCore.Database.Command Executed DbCommand (11ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.132 DBG] Microsoft.EntityFrameworkCore.Database.Command Created DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE UNIQUE INDEX "IX_import_file_snapshots_ImportSessionId" ON import.import_file_snapshots ("ImportSessionId");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.132 DBG] Microsoft.EntityFrameworkCore.Database.Command Creating DbCommand for 'ExecuteNonQuery'.
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.189 DBG] Microsoft.EntityFrameworkCore.Database.Command Creating DbCommand for 'ExecuteNonQuery'.
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.189 DBG] Microsoft.EntityFrameworkCore.Database.Command Created DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.189 DBG] Microsoft.EntityFrameworkCore.Database.Command Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE INDEX "IX_import_sessions_Status" ON import.import_sessions ("Status");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.177 DBG] Microsoft.EntityFrameworkCore.Database.Command Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.177 DBG] Microsoft.EntityFrameworkCore.Database.Command Initialized DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE UNIQUE INDEX "IX_staged_rows_ImportSessionId_SourceRowNumber" ON import.staged_rows ("ImportSessionId", "SourceRowNumber");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.201 DBG] Microsoft.EntityFrameworkCore.Database.Command Creating DbCommand for 'ExecuteNonQuery'.
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE UNIQUE INDEX "IX_staged_rows_ImportSessionId_SourceRowNumber" ON import.staged_rows ("ImportSessionId", "SourceRowNumber");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.189 INF] Microsoft.EntityFrameworkCore.Database.Command Executed DbCommand (12ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.189 DBG] Microsoft.EntityFrameworkCore.Database.Command Initialized DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE UNIQUE INDEX "UX_ImportSession_TypeAndSha" ON import.import_sessions ("ImportTypeCode", "FileSha256") WHERE "Status" NOT IN ('Failed','Cancelled');
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.177 INF] Microsoft.EntityFrameworkCore.Database.Command Executed DbCommand (11ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.166 DBG] Microsoft.EntityFrameworkCore.Database.Command Executing DbCommand [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE INDEX "IX_import_sessions_Status" ON import.import_sessions ("Status");
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.166 DBG] Microsoft.EntityFrameworkCore.Database.Command Created DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.154 DBG] Microsoft.EntityFrameworkCore.Database.Command Creating DbCommand for 'ExecuteNonQuery'.
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.154 INF] Microsoft.EntityFrameworkCore.Database.Command Executed DbCommand (11ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.166 DBG] Microsoft.EntityFrameworkCore.Database.Command Initialized DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.177 DBG] Microsoft.EntityFrameworkCore.Database.Command Creating DbCommand for 'ExecuteNonQuery'.
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | [06:46:57.177 DBG] Microsoft.EntityFrameworkCore.Database.Command Created DbCommand for 'ExecuteNonQuery' (0ms).
Jun 25, 2026 @ 13:46:57.937 | alfa-building-fm-import-84946b76cb-k9xt9 | CREATE UNIQUE INDEX "UX_ImportSession_TypeAndSha" ON import.import_sessions ("ImportTypeCode", "FileSha256") WHERE "Status" NOT IN ('Failed','Cancelled');
